"Table","FieldEN","FieldVI","FHIR_Source","Role","Status","UsedFor"
"Dim_Practitioner","Gender","Gioi tinh","Practitioner.gender","Attr","Tuy chon","Phan tich nhan su theo gioi tinh"
"Dim_Practitioner","ActiveFlag","Co hoat dong","Practitioner.active","Attr","Can co","Loc nhan su dang lam viec"
"Dim_PractitionerRole","PractitionerRoleID","Ma vai tro","PractitionerRole.id","PK","Can co","Tranh nhan ban Practitioner"
"Dim_PractitionerRole","PractitionerID","Ma nhan su","PractitionerRole.practitioner.reference","FK","Can co","Lien ket Dim_Practitioner"
"Dim_PractitionerRole","OrganizationID","Ma khoa/phong","PractitionerRole.organization.reference","FK","Can co","Loc theo Khoa/Phong (P5)"
"Dim_PractitionerRole","RoleDisplay","Vai tro","PractitionerRole.code.coding.display","Attr","Da dung trong PBIX","Bo loc vai tro (bac si/dieu duong...)"
"Dim_PractitionerRole","SpecialtyDisplay","Chuyen khoa","PractitionerRole.specialty.coding.display","Attr","Can co","Phan tich theo chuyen khoa (P5)"
"Dim_Organization","OrganizationID","Ma to chuc","Organization.id","PK","Can co","Khoa toan bo fact/dim khac"
"Dim_Organization","OrganizationName","Ten khoa/phong","Organization.name","Attr","Da dung trong PBIX","Khoa/Phong slicer, Department Priority Score (P1)"
"Dim_Organization","OrganizationTypeDisplay","Loai to chuc","Organization.type.coding.display","Attr","Can co","Phan biet benh vien/khoa/ward"
"Dim_Organization","ParentOrganizationID","Ma to chuc cap tren","Organization.partOf.reference","FK","Can co","Cay phan cap Khoa/Phong"
"Dim_Organization","TotalBeds","Tong so giuong","Khong co san trong FHIR - can bo sung","Attr","Can bo sung (ngoai FHIR)","Mau so Bed Occupancy Rate (P1,P2)"
"Dim_Organization","TargetOccupancyRate","Ty le giuong muc tieu","Khong co san trong FHIR - can bo sung","Attr","Tuy chon (ngoai FHIR)","So sanh KPI Bed Occupancy Rate"
"Dim_Organization","TargetALOS","So ngay nam vien muc tieu","Khong co san trong FHIR - can bo sung","Attr","Tuy chon (ngoai FHIR)","So sanh KPI Avg Length of Stay"
"Dim_Condition","ConditionKey","Khoa chan doan","Derived (System+Code)","PK","Can co","Khoa Fact_Encounter_Diagnosis"
"Dim_Condition","ConditionCode","Ma chan doan/benh","Condition.code.coding.code","Attr","Can co","Chi tiet ICD-10/SNOMED"
"Dim_Condition","ConditionDisplay","Ten chan doan","Condition.code.coding.display","Attr","Can co","Top Diagnosis/Condition (P1)"
"Dim_Condition","ConditionGroup","Nhom benh","Khong co san trong FHIR - can mapping","Attr","Da dung trong PBIX","Nhom benh, Diagnosis Case Count (P1,P3)"
"Dim_Condition","IsChronicFlag","Co benh man tinh","Khong co san trong FHIR - can mapping","Attr","Tuy chon","Phan tich benh man tinh"
"Dim_Medication","MedicationID","Ma thuoc","Medication.id","PK","Can co","Khoa Fact_MedicationRequest"
"Dim_Medication","MedicationDisplay","Ten thuoc","Medication.code.coding.display","Attr","Da dung trong PBIX","Medication Requests theo thuoc (P5)"
"Dim_Medication","MedicationGroup","Nhom thuoc","Khong co san trong FHIR - can mapping","Attr","Tuy chon","Phan tich nhom thuoc"
"Dim_Medication","IsAntibioticFlag","Co la khang sinh","Khong co san trong FHIR - can mapping","Attr","Tuy chon","Antibiotic usage KPI"
"Dim_ChargeItemDefinition","ChargeItemDefinitionID","Ma dinh nghia tinh phi","ChargeItemDefinition.id","PK","Can co","Khoa Fact_ChargeItem"
"Dim_ChargeItemDefinition","CodeDisplay","Ten dich vu/billing","ChargeItemDefinition.code.coding.display","Attr","Da dung trong PBIX","Nhom doanh thu theo dich vu (P1,P4)"
"Dim_ChargeItemDefinition","UnitPrice","Don gia","propertyGroup.priceComponent.amount.value","Attr","Can co","Tinh Total Charges/Revenue (P1)"
"Dim_ChargeItemDefinition","Currency","Loai tien","propertyGroup.priceComponent.amount.currency","Attr","Can co","Chuan hoa tien te"
"Dim_Location","LocationID","Ma vi tri/giuong","Location.id","PK","Can bo sung","Khoa Fact_Bed_Occupancy"
"Dim_Location","LocationTypeDisplay","Loai vi tri","Location.type.coding.display","Attr","Can bo sung","Loc theo loai giuong (ICU/thuong...)"
"Dim_Location","ManagingOrganizationID","Ma khoa/phong quan ly","Location.managingOrganization.reference","FK","Can bo sung","Rollup Bed Occupancy theo Khoa/Phong"
"Dim_Location","Ward","Khu/ward","Derived tu Location hierarchy","Attr","Tuy chon","Phan tich cong suat theo khu"
"Dim_Location","BedNumber","So giuong","Derived tu name/identifier","Attr","Tuy chon","Chi tiet giuong"
"Fact_Encounter","EncounterID","Ma encounter","Encounter.id","PK","Can co","Xuong song, khoa cac fact con"
"Fact_Encounter","PatientID","Ma benh nhan","Encounter.subject.reference","FK","Can co","Lien ket Dim_Patient"
"Fact_Encounter","EncounterClassCode","Ma lop encounter","Encounter.class.code","Attr","Can co","Phan loai AMB/IMP/EMER"
"Fact_Encounter","EncounterClassDisplay","Lop encounter","Encounter.class.display","Attr","Da dung trong PBIX","Outpatient/Inpatient/Emergency"
"Fact_Encounter","CheckInDateKey","Khoa ngay tiep nhan","Encounter.period.start","FK","Can co","Total Encounters, xu huong theo ngay"
"Fact_Encounter","CheckInTime","Thoi diem tiep nhan","Encounter.period.start","Attr","Can co","Tinh thoi gian cho (Wait Time)"
"Fact_Encounter","EncounterEndTime","Thoi diem ket thuc","Encounter.period.end","Attr","Can co","Tinh thoi luong encounter"
"Fact_Encounter","EncounterDurationMinutes","Thoi luong (phut)","Derived","Attr","Can co","Avg Wait Time (Outpatient/Emergency) (P2)"
"Fact_Encounter","ServiceProviderOrganizationID","Ma to chuc phu trach","Encounter.serviceProvider.reference","FK","Can co","Rollup theo Khoa/Phong"
"Fact_Encounter","PrimaryLocationID","Ma vi tri chinh","Encounter.location.location.reference","FK","Tuy chon","Phan tich theo vi tri"
"Fact_Encounter","PrimaryPractitionerID","Ma nhan su chinh","Encounter.participant.individual.reference","FK","Can co","Encounters per Practitioner (P5)"
"Fact_Encounter","IsInpatientFlag","Co la noi tru","Derived tu class.code","Attr","Can co","Loc IMP cho Fact_Encounter_Inpatient"
"Fact_Encounter","IsEmergencyFlag","Co la cap cuu","Derived tu class.code","Attr","Can co","Avg Emergency Wait Time (P2)"
"Fact_Encounter","IsNewPatientFlag","Co la BN moi","Derived","Attr","Tuy chon","Active/New Patients (P3)"
"Fact_Encounter_Diagnosis","EncounterDiagnosisID","Ma dong chan doan","Derived","PK","Can co","Khoa dong"
"Fact_Encounter_Diagnosis","EncounterID","Ma encounter","Encounter.id","FK","Can co","Lien ket Fact_Encounter"
"Fact_Encounter_Diagnosis","ConditionKey","Khoa chan doan","Condition.code system+code","FK","Can co","Lien ket Dim_Condition; Diagnosis Case Count (P1,P3)"
"Fact_Encounter_Diagnosis","IsPrimaryDiagnosisFlag","Co la chan doan chinh","diagnosis.rank/use","Attr","Can co","Loc chan doan chinh cho Top Diagnosis (P1)"
"Fact_Encounter_Diagnosis","DiagnosisType","Loai chan doan","diagnosis.use/rank","Attr","Tuy chon","Primary/secondary breakdown"
"Fact_Encounter_Participant","EncounterParticipantID","Ma dong tham gia","Derived","PK","Can co","Khoa dong"
"Fact_Encounter_Participant","EncounterID","Ma encounter","Encounter.id","FK","Can co","Lien ket Fact_Encounter"
"Fact_Encounter_Participant","PractitionerID","Ma Practitioner","participant.individual.reference","FK","Can co","Encounters per Practitioner (P5)"
"Fact_Encounter_Participant","PractitionerRoleID","Ma PractitionerRole","participant.individual.reference","FK","Tuy chon","Neu participant tro toi Role"
"Fact_Encounter_Participant","IsPrimaryParticipantFlag","Co la nguoi chinh","Derived","Attr","Can co","Tranh dem trung khi tinh KPI theo BS"
"Fact_Encounter_Inpatient","InpatientEncounterID","Ma encounter noi tru","Encounter.id","PK","Can co","Khoa chinh cho KPI noi tru"
"Fact_Encounter_Inpatient","EncounterID","Ma encounter","Encounter.id","FK","Can co","Lien ket Fact_Encounter"
"Fact_Encounter_Inpatient","PatientID","Ma benh nhan","Encounter.subject.reference","FK","Can co","Lien ket Dim_Patient"
"Fact_Encounter_Inpatient","ServiceProviderOrganizationID","Ma to chuc phu trach","Encounter.serviceProvider.reference","FK","Can co","Rollup KPI theo Khoa/Phong (P2)"
"Fact_Encounter_Inpatient","AdmitDateKey","Khoa ngay nhap vien","Encounter.period.start","FK","Can co","Admissions by Admit Date (P2)"
"Fact_Encounter_Inpatient","DischargeDateKey","Khoa ngay xuat vien","Encounter.period.end","FK","Can co","Discharges by Discharge Date (P2)"
"Fact_Encounter_Inpatient","LengthOfStayDays","So ngay nam vien","Derived","Attr","Can co","Avg Length of Stay / ALOS (P1,P2)"
"Fact_Encounter_Inpatient","IsCurrentInpatientFlag","Co dang noi tru","Derived tu period.end","Attr","Can co","Current Inpatients As Of Date (P2)"
"Fact_Encounter_Inpatient","IsReadmissionFlag","Co tai nhap vien","hospitalization.reAdmission","Attr","Tuy chon","Ho tro Readmission KPI"
"Fact_Encounter_Inpatient","IsReadmission30dFlag","Co tai nhap 30 ngay","Derived","Attr","Can co","Readmission 30d Count/Rate (P2,P6)"
"Fact_Encounter_Inpatient","DischargeDispositionDisplay","Hinh thuc xuat vien","hospitalization.dischargeDisposition.coding.display","Attr","Can co","Mortality Count/Rate (P6) - loc 'tu vong'"
"Fact_Bed_Occupancy","BedOccupancyID","Ma dong snapshot giuong","Derived","PK","Can bo sung","Khoa dong"
"Fact_Bed_Occupancy","DateKey","Khoa ngay","Generated","FK","Can bo sung","Bed Occupancy Rate (Daily Avg) (P1,P2)"
"Fact_Bed_Occupancy","BedLocationID","Ma giuong","Location.id","FK","Can bo sung","Lien ket Dim_Location"
"Fact_Bed_Occupancy","ManagingOrganizationID","Ma khoa/phong quan ly","Location.managingOrganization.reference","FK","Can bo sung","Rollup theo Khoa/Phong"
"Fact_Bed_Occupancy","IsOccupiedFlag","Co dang su dung","Derived","Attr","Can bo sung","Tu so Bed Occupancy Rate"
"Fact_Bed_Occupancy","OccupiedBedCount","So giuong dang su dung","Derived (measure)","Attr","Can bo sung","Tu so Bed Occupancy Rate"
"Fact_Bed_Occupancy","AvailableBedCount","So giuong kha dung","Derived (measure)","Attr","Can bo sung","Mau so Bed Occupancy Rate"
"Fact_Procedure","ProcedureID","Ma procedure","Procedure.id","PK","Can co","Khoa chinh"
"Fact_Procedure","PatientID","Ma benh nhan","Procedure.subject.reference","FK","Tuy chon","Lien ket Dim_Patient"
"Fact_Procedure","EncounterID","Ma encounter","Procedure.encounter.reference","FK","Can co","Lien ket Fact_Encounter"
"Fact_Procedure","ProcedureCategoryDisplay","Nhom procedure","Procedure.category.coding.display","Attr","Can co","Phan biet phau thuat/thu thuat/CDHA"
"Fact_Procedure","ServiceRequestID","Ma chi dinh dich vu","Procedure.basedOn.reference","FK","Can co","Tinh Avg Procedure Wait Time (P2)"
"Fact_Procedure","PerformedStartTime","Thoi diem bat dau thuc hien","Procedure.performedDateTime/Period.start","Attr","Can co","Avg Procedure Wait Time (P2)"
"Fact_Procedure","PerformerID","Ma nguoi/don vi thuc hien","Procedure.performer.actor.reference","FK","Can co","Procedures per Practitioner (P5)"
"Fact_Procedure","PractitionerID","Ma Practitioner thuc hien","Procedure.performer.actor.reference","FK","Can co","Procedures per Practitioner (P5)"
"Fact_ServiceRequest","ServiceRequestID","Ma chi dinh dich vu","ServiceRequest.id","PK","Can co","Khoa chinh"
"Fact_ServiceRequest","PatientID","Ma benh nhan","ServiceRequest.subject.reference","FK","Tuy chon","Lien ket Dim_Patient"
"Fact_ServiceRequest","EncounterID","Ma encounter","ServiceRequest.encounter.reference","FK","Can co","Lien ket Fact_Encounter"
"Fact_ServiceRequest","CategoryDisplay","Nhom chi dinh","ServiceRequest.category.coding.display","Attr","Can co","Lab Orders / Imaging Orders (P6)"
"Fact_ServiceRequest","AuthoredDateTime","Thoi diem tao chi dinh","ServiceRequest.authoredOn","Attr","Can co","Diem bat dau tinh Wait Time (P2)"
"Fact_ServiceRequest","IsCompletedFlag","Co hoan tat","status = completed","Attr","Tuy chon","Loc chi dinh da xong"
"Fact_Observation","ObservationID","Ma observation","Observation.id","PK","Can co","Khoa chinh"
"Fact_Observation","EncounterID","Ma encounter","Observation.encounter.reference","FK","Can co","Lien ket Fact_Encounter"
"Fact_Observation","ObservationCategoryDisplay","Nhom observation","Observation.category.coding.display","Attr","Can co","Lab Results Count (P6) - loc laboratory"
"Fact_Observation","EffectiveDateTime","Thoi diem ghi nhan","Observation.effectiveDateTime","Attr","Can co","Xu huong Lab Results theo ngay"
"Fact_Observation","ServiceRequestID","Ma chi dinh dich vu","Observation.basedOn.reference","FK","Tuy chon","Turnaround time xet nghiem"
"Fact_MedicationRequest","MedicationRequestID","Ma yeu cau thuoc","MedicationRequest.id","PK","Can co","Khoa chinh"
"Fact_MedicationRequest","PatientID","Ma benh nhan","MedicationRequest.subject.reference","FK","Tuy chon","Lien ket Dim_Patient"
"Fact_MedicationRequest","EncounterID","Ma encounter","MedicationRequest.encounter.reference","FK","Can co","Lien ket Fact_Encounter"
"Fact_MedicationRequest","MedicationID","Ma thuoc","MedicationRequest.medicationReference.reference","FK","Can co","Lien ket Dim_Medication; Medication Requests (P5)"
"Fact_MedicationRequest","RequesterPractitionerID","Ma Practitioner ke don","MedicationRequest.requester.reference","FK","Can co","Medication Requests theo bac si (P5)"
"Fact_MedicationRequest","AuthoredDateTime","Thoi diem ke don","MedicationRequest.authoredOn","Attr","Can co","Xu huong ke don theo ngay"
"Fact_MedicationRequest","IsAntibioticFlag","Co la khang sinh","Derived tu Dim_Medication","Attr","Tuy chon","Antibiotic usage KPI"
"Fact_ChargeItem","ChargeItemID","Ma dong chi phi","ChargeItem.id","PK","Can co","Khoa chinh"
"Fact_ChargeItem","PatientID","Ma benh nhan","ChargeItem.subject.reference","FK","Tuy chon","Lien ket Dim_Patient"
"Fact_ChargeItem","EncounterID","Ma encounter","ChargeItem.context.reference","FK","Can co","Lien ket Fact_Encounter"
"Fact_ChargeItem","ChargeItemDefinitionID","Ma dinh nghia tinh phi","ChargeItem.definitionCanonical","FK","Can co","Lien ket Dim_ChargeItemDefinition"
"Fact_ChargeItem","OccurrenceDateKey","Khoa ngay phat sinh","ChargeItem.occurrenceDateTime","FK","Can co","Total Charges/Revenue theo ngay (P1)"
"Fact_ChargeItem","Quantity","So luong","ChargeItem.quantity.value","Attr","Can co","Tinh CalculatedAmount"
"Fact_ChargeItem","CalculatedAmount","So tien tinh toan","Derived","Attr","Can co","Total Charges (P1), Revenue Conversion Rate mau (P4)"
"Fact_ChargeItem","PerformingOrganizationID","Ma to chuc thuc hien","ChargeItem.performingOrganization.reference","FK","Can co","Rollup doanh thu theo Khoa/Phong"
"Fact_ExplanationOfBenefit","EOBItemID","Ma dong EOB","Derived","PK","Can co","Khoa chinh"
"Fact_ExplanationOfBenefit","PatientID","Ma benh nhan","ExplanationOfBenefit.patient.reference","FK","Tuy chon","Lien ket Dim_Patient"
"Fact_ExplanationOfBenefit","EncounterID","Ma encounter","item.encounter.reference","FK","Can co","Lien ket Fact_Encounter"
"Fact_ExplanationOfBenefit","ServiceDateKey","Khoa ngay dich vu","item.servicedDate","FK","Can co","Xu huong Denied/Benefit theo ngay (P1,P4)"
"Fact_ExplanationOfBenefit","GrossAmount","So tien yeu cau (truoc duyet)","item.net.value","Attr","Can co","Mau so Denied Rate, Revenue Conversion Rate (P4)"
"Fact_ExplanationOfBenefit","BenefitAmount","So tien BHYT chi tra","item.adjudication.amount.value (benefit)","Attr","Can co","Insurance Benefit Amount (P1,P4)"
"Fact_ExplanationOfBenefit","PatientResponsibilityAmount","So tien BN tu tra","item.adjudication.amount.value (patient pay)","Attr","Can co","Patient Responsibility Amount (P1,P4)"
"Fact_ExplanationOfBenefit","DeniedAmount","So tien bi tu choi","item.adjudication.amount.value (denied)","Attr","Can co","Denied Amount / Denied Rate (P1,P4)"
"Fact_ExplanationOfBenefit","EligibleAmount","So tien du dieu kien","item.adjudication.amount.value (eligible)","Attr","Tuy chon","Ho tro tinh Denied Rate"
"Fact_ExplanationOfBenefit","IsDeniedFlag","Co bi tu choi","Derived","Attr","Can co","Denied Rate (P1,P4)"
"Fact_AdverseEvent","AdverseEventID","Ma su co","AdverseEvent.id","PK","Can co","Khoa chinh"
"Fact_AdverseEvent","PatientID","Ma benh nhan","AdverseEvent.subject.reference","FK","Tuy chon","Lien ket Dim_Patient"
"Fact_AdverseEvent","EncounterID","Ma encounter","AdverseEvent.encounter.reference","FK","Can co","Lien ket Fact_Encounter"
"Fact_AdverseEvent","ManagingOrganizationID","Ma khoa/phong","Derived tu Location","FK","Can co","Adverse Event Rate theo Khoa/Phong (P5,P6)"
"Fact_AdverseEvent","AdverseEventDateKey","Khoa ngay xay ra","AdverseEvent.date","FK","Can co","Xu huong theo ngay (P6)"
"Fact_AdverseEvent","EventCategoryDisplay","Nhom su co","AdverseEvent.category.coding.display","Attr","Can co","Phan loai Clinical/Medication/Infection"
"Fact_AdverseEvent","SeverityDisplay","Muc do nang","AdverseEvent.severity.coding.display","Attr","Tuy chon","Phan tich muc do"
"Fact_AdverseEvent","IsHAIFlag","Co la nhiem khuan BV","Derived","Attr","Can co","HAI Count/Rate (P5,P6)"
"Fact_AdverseEvent","IsFallFlag","Co la te nga","Derived","Attr","Can co","Fall Count (P6)"
"Fact_AdverseEvent","IsMedicationErrorFlag","Co la sai sot thuoc","Derived","Attr","Can co","Medical Error Rate (P6)"
"Fact_AdverseEvent","IsMortalityRelatedFlag","Co lien quan tu vong","Derived","Attr","Tuy chon","Doi chieu Mortality Rate (P6)"
"Fact_QuestionnaireResponse","QuestionnaireResponseID","Ma phan hoi khao sat","QuestionnaireResponse.id","PK","Can co","Khoa chinh"
"Fact_QuestionnaireResponse","PatientID","Ma benh nhan","QuestionnaireResponse.subject.reference","FK","Tuy chon","Lien ket Dim_Patient"
"Fact_QuestionnaireResponse","EncounterID","Ma encounter","QuestionnaireResponse.encounter.reference","FK","Can co","Lien ket Fact_Encounter"
"Fact_QuestionnaireResponse","ServiceProviderOrganizationID","Ma khoa/phong phu trach","Derived","FK","Can co","Satisfaction Score theo Khoa/Phong (P5)"
"Fact_QuestionnaireResponse","AuthoredDateTime","Thoi diem phan hoi","QuestionnaireResponse.authored","Attr","Can co","Xu huong Satisfaction Score theo ngay"
"Fact_QuestionnaireResponse","SatisfactionScore","Diem hai long","item.answer.valueInteger/Decimal","Attr","Can co","Satisfaction Score (P5)"
"Language / 0-translation / TitleKey","Language, Get Text By Key, Key","Bang da ngon ngu","Khong phai FHIR - bang phu tro PBIX","Attr","Da dung trong PBIX (giu nguyen)","Co che da ngon ngu cho tieu de/nhan bao cao"
"DW-Calendar","MonthNumber","Bang lich phu","Khong phai FHIR - bang phu tro","Attr","Da dung trong PBIX (giu nguyen)","Co the thay the boi Dim_Date, can ra soat trung lap"
"HRD_EmployeeList","CAP1_Name, Gender","Danh sach nhan su HR","Khong phai FHIR - nguon HR rieng","Attr","Da dung trong PBIX (giu nguyen)","Bo sung du lieu nhan su ngoai Practitioner, can ra soat map voi Dim_Practitioner"
